id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2022-11-08;Gorgeous Lilangeni circuit;76982;79003;55041
2;2022-11-08;Loan Mouse;71584;41883;66921
3;2022-11-09;Avon payment;22899;83850;30589
4;2022-11-08;New transition Future;95770;9415;85861
5;2022-11-09;Human Computer matrix;79339;12447;890
6;2022-11-09;Creative product aggregate;9843;29422;69885
7;2022-11-09;pricing Hat;89258;42488;92758
8;2022-11-08;Metal Keyboard out-of-the-box;17038;13284;44910
9;2022-11-09;Table Fort RSS;8462;23122;31328
10;2022-11-09;Engineer;8483;77393;26119
