id;expense_code;expense_name;expense_limit;is_active
1;grid-enabled deposit;deposit copy orchestrate;45390;false
2;withdrawal maroon blockchains;Small magnetic Ball;43706;false
3;Bedfordshire;Chicken;42074;false
4;architectures Circles;time-frame;17340;false
5;ADP hack;Czech Wyoming payment;70153;false
6;Division;Ergonomic;8767;true
7;withdrawal plum Rubber;Grocery Liaison Cambridgeshire;61141;false
8;Polynesia Macedonia;1080p COM Island;59764;true
9;Fantastic Kids;e-markets redundant;4875;false
10;deliverables plum EXE;portal;59712;false
