id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2022-11-08;Ergonomic sensor calculating;8891;49935;32145
2;2022-11-08;virtual Arkansas Massachusetts;25706;19482;46161
3;2022-11-08;azure Engineer;16700;80551;28071
4;2022-11-08;Dollar Frozen XML;66499;68743;4602
5;2022-11-08;Mission calculating;61403;27332;82192
6;2022-11-08;compressing;66044;64562;52222
7;2022-11-08;vortals;73671;49118;27507
8;2022-11-08;overriding;35577;76425;43706
9;2022-11-08;Customer Buckinghamshire;57295;46174;99001
10;2022-11-08;parse;78780;66241;42595
