id;code;name;related_user_login;expence_code;is_active
1;SMS Shoes;Vision-oriented;Operative 1080p;Garden;true
2;Chicken Bacon;relationships Bedfordshire Chips;invoice backing;index Architect JSON;true
3;Balboa Intranet Investment;Intelligent Group;Utah neural;visualize Kansas gold;true
4;COM Representative Unbranded;Rustic Cheese transitional;Towels experiences;Rustic;false
5;Gloves copying;systemic;analyzing Dynamic ROI;Fish applications red;true
6;Representative drive Cloned;client-server;Isle Jersey;drive;true
7;Decentralized override;Multi-channelled Metal interface;Berkshire GB USB;Re-engineered Unbranded Practical;false
8;Account Zambia;syndicate Lead;deposit Uruguay;quantifying Tuna;true
9;frictionless Cambridgeshire;navigating;Handmade;index;false
10;Plaza Quality;Division;Berkshire Burkina;Corporate Assistant incremental;false
